Sex,Strand,Batch,University,Course
F,STEM,2018,University of Santo Tomas,BS Pharmacy
F,STEM,2018,University of Santo Tomas,BS Pharmacy
F,STEM,2018,Central Luzon State University,BS Chemistry
F,STEM,2018,Nueva Ecija University of Science and Technology,BS Electrical Engineering
F,STEM,2018,University of Santo Tomas,BS Information Technology
F,STEM,2018,Our Lady of Fatima University,BS Medical Laboratory Science
F,STEM,2018,Pines City Colleges,BS Pharmacy
F,STEM,2018,Wesleyan University Philippines,BS Electronics Engineering
F,STEM,2018,Mapua University,BS Civil Engineering
F,STEM,2018,Wesleyan University Philippines,Bachelor of Pharmacy
F,STEM,2018,Saint Louis University,BS Nursing
F,STEM,2018,RMIT University Melbourne City Campus,BS Nursing
F,STEM,2018,Far Eastern University,BS Civil Engineering
F,STEM,2018,Our Lady of Fatima University,BS Medical Laboratory Science
F,STEM,2018,Our Lady of Fatima University,BS Marine Transportation
M,STEM,2018,Central Luzon State University,Doctor of Veterinary Medicine
M,STEM,2018,Wesleyan University Philippines,BS Pharmacy
M,STEM,2018,Pamantasan ng Lungsod ng Maynila,BS Manufacturing Engineering
M,STEM,2018,University of Baguio,BS Dentistry
M,STEM,2018,University of the Philippines Diliman,Bachelor of Landscape Architecture
M,STEM,2018,Philippine State College of Aeronautics,BS Aircraft Maintenance Technology
M,STEM,2018,Wesleyan University Philippines,BS Pharmacy
M,STEM,2018,Nueva Ecija University of Science and Technology,BS Civil Engineering
M,STEM,2018,Our Lady of Fatima University,BS Medical Technology
M,STEM,2018,Central Luzon State University,BS Agriculture
M,STEM,2018,University of Baguio,BS Medical Laboratory Science
M,STEM,2018,Nueva Ecija University of Science and Technology,BS Major Civil Engineering
M,STEM,2018,Nueva Ecija University of Science and Technology,BS Mechanical Engineering
F,STEM,2018,Saint Louis University,BS Psychology
F,STEM,2018,Saint Louis University,BS Computer Science
F,STEM,2018,St. Paul University Quezon City,BS Nursing
M,STEM,2018,Nueva Ecija University of Science and Technology,BS Civil Engineering
M,STEM,2018,Central Luzon State University,BS Civil Engineering
F,STEM,2018,Mapua University,BS Chemical Engineering
M,STEM,2018,Far Eastern University Institute of Technology,BS Computer Engineering
F,STEM,2018,University of the Philippines Diliman,BS Chemical Engineering
M,STEM,2018,Saint Louis University,BS Medical Laboratory Science
M,STEM,2018,Saint Louis University,BS Electrical Engineering
F,STEM,2018,University of the Philippines Diliman,Ba Journalism
F,STEM,2018,Adamson University,BS Chemistry
F,STEM,2018,Saint Louis University,BS Medical Laboratory Science
F,STEM,2018,Saint Louis University,BS Medical Laboratory Science
M,STEM,2018,Nueva Ecija University of Science and Technology,BS Electrical Engineering
F,STEM,2018,Wesleyan University Philippines,BS Physical Education
F,STEM,2018,Far Eastern University,BS Medical Technology
F,STEM,2018,Our Lady of Fatima University,BS Nursing
F,STEM,2018,Wesleyan University Philippines,BS Nursing
F,STEM,2018,NO RECORD FOUND,BS Architecture
M,STEM,2018,Nueva Ecija University of Science and Technology,BS Business Administration
F,STEM,2018,Mapua University,BS Architecture
M,STEM,2018,Philippine State College of Aeronautics,BS Aircraft Maintenance Technology
M,STEM,2018,NO RECORD FOUND,BS National Security Management
M,STEM,2018,Saint Louis University,BS Pharmacy
M,STEM,2018,Nueva Ecija University of Science and Technology,BS Mechanical Engineering
F,STEM,2018,De La Salle University,BS Nursing
F,STEM,2018,Good Samaritan Colleges,BS Nursing
F,STEM,2018,Our Lady of Fatima University,BS Pharmacy
F,STEM,2018,Nueva Ecija University of Science and Technology,BS Nursing
M,STEM,2018,PATTS College of Aeronautics,BS Aeronautical Engineering
M,STEM,2018,NO RECORD FOUND,NO RECORD FOUND
M,STEM,2018,Far Eastern University Institute of Technology,NO RECORD FOUND
M,STEM,2018,Saint Louis University,BS Civil Engineering
M,STEM,2018,Wesleyan University Philippines,BS Criminology
F,STEM,2018,NO RECORD FOUND,NO RECORD FOUND
F,STEM,2018,University of Santo Tomas,BS Chemistry
F,STEM,2018,Wesleyan University Philippines,BS Nursing
M,ABM,2019,Central Luzon State University,BS Business Administration Major in Human Resource Development Management
M,ABM,2019,PHINMA Araullo University,BS Accountancy
M,ABM,2019,Wesleyan University Philippines,BS Civil Engineering
M,ABM,2019,Wesleyan University Philippines,Financial Management
M,ABM,2019,Wesleyan University Philippines,BS Information Technology
M,ABM,2019,Saint Louis University,BS Pharmacy
M,ABM,2019,Wesleyan University Philippines,BS Nursing
M,ABM,2019,Central Luzon State University,BS Statistics
M,ABM,2019,Philippine State College of Aeronautics,BS Aircraft Maintenance Technology
M,ABM,2019,Polytechnic University of the Philippines,BS Accountancy
M,ABM,2019,Philippine State College of Aeronautics,BS Aircraft Maintenance Technology
M,ABM,2019,Wesleyan University Philippines,BS Tourism Management
M,ABM,2019,Technological University of the Philippines,BS Civil Engineering
M,ABM,2019,Central Luzon State University,BS Management Accounting
M,ABM,2019,Trinity University of Asia Quezon City,BS Business Administration Major in Marketing Management
M,ABM,2019,Wesleyan University Philippines,BS Accountancy
M,ABM,2019,Wesleyan University Philippines,BS Accountancy
M,ABM,2019,University of the Philippines Diliman,BS Accountancy
M,ABM,2019,WCC Aeronautical and Technological College,BS Aviation Major in Commercial Flying
M,ABM,2019,PATTS College of Aeronautics,BS Aircraft Maintenance And Technology
M,ABM,2019,WCC Aeronautical and Technological College,BS Aircraft Maintenance and Technology Major in Commercial Flying
F,ABM,2019,Wesleyan University Philippines,BS Accountancy
F,ABM,2019,University of Santo Tomas,BS Accounting Information System
F,ABM,2019,Wesleyan University Philippines,BS Business Administration Major in Marketing Management
F,ABM,2019,Saint Louis University,BS Medical Laboratory Science
F,ABM,2019,Central Luzon State University,BS Psychology
F,ABM,2019,Polytechnic University of the Philippines,BS Business Administration Major in Marketing Management
F,ABM,2019,Saint Louis University,BS Accountancy
F,ABM,2019,Wesleyan University Philippines,BS Management Accounting
F,ABM,2019,Nueva Ecija University of Science and Technology,BS Architecture
F,ABM,2019,Central Luzon State University,BS Agricultural And Biosystems Engineering
F,ABM,2019,Central Luzon State University,BS Accountancy
F,ABM,2019,Nueva Ecija University of Science and Technology,BS Nursing
F,ABM,2019,PHINMA Araullo University,BS Civil Engineering
F,ABM,2019,Our Lady of Fatima University,BS Pharmacy
F,ABM,2019,Nueva Ecija University of Science and Technology,BS Secondary Education
F,ABM,2019,Tarlac State University,BS Accountancy
F,ABM,2019,Nueva Ecija University of Science and Technology,BS Civil Engineering
F,ABM,2019,University of Santo Tomas,BS Accountancy
F,ABM,2019,PHINMA Araullo University,BS Accountancy
F,ABM,2019,PHINMA Araullo University,BS Management Accounting
F,ABM,2019,Our Lady of Fatima University,BS Nursing
F,ABM,2019,Wesleyan University Philippines,BS Business Administration Major in Financial Management
F,ABM,2019,Wesleyan University Philippines,BS Nursing
F,ABM,2019,Polytechnic University of the Philippines,BS Business Administration Major in Marketing Management
F,ABM,2019,De La Salle University,BS Accountancy
F,ABM,2019,Polytechnic University of the Philippines,BS Business Administration Major in Marketing Management
F,ABM,2019,Wesleyan University Philippines,BS Accountancy
F,ABM,2019,Our Lady of Fatima University,BS Pharmacy
F,ABM,2019,Central Luzon State University,BS Development Communication
F,ABM,2019,Wesleyan University Philippines,BS Accountancy
F,ABM,2019,University of Santo Tomas,BS Management Accounting
F,ABM,2019,Nueva Ecija University of Science and Technology,BS Business Administration Major in Marketing Management
F,ABM,2019,University of the Philippines,Ba Business Economics
F,ABM,2019,PHINMA Araullo University,BS Management Accounting
M,STEM,2019,Wesleyan University Philippines,BS Medical Technology
M,STEM,2019,Wesleyan University Philippines,BS Computer Engineering
M,STEM,2019,PHINMA Araullo University,BS Management Accounting
M,STEM,2019,Nueva Ecija University of Science and Technology,BS Electrical Engineering
M,STEM,2019,University of Santo Tomas,Bachelor of Secondary Education Major in Social Studies
M,STEM,2019,Our Lady of Fatima University,BS Medical Technology
M,STEM,2019,Far Eastern University Nicanor Reyes Medical Foundation,BS Medical Technology
M,STEM,2019,Our Lady of Fatima University,BS Medical Technology
M,STEM,2019,Nueva Ecija University of Science and Technology,BS Civil Engineering
M,STEM,2019,Philippine National Police Academy,BS Public Safety
M,STEM,2019,Mapua University,BS Civil Engineering
M,STEM,2019,Nueva Ecija University of Science and Technology,BS Mechanical Engineering
M,STEM,2019,University of Santo Tomas,BS Civil Engineering
M,STEM,2019,Wesleyan University Philippines,BS Nursing
M,STEM,2019,Centro Escolar University,BS Medical Technology
M,STEM,2019,University of the Philippines - Baguio,College of Science
M,STEM,2019,Currently not studying,Currently not studying
M,STEM,2019,Nueva Ecija University of Science and Technology,BS Civil Engineering
M,STEM,2019,Nueva Ecija University of Science and Technology,BS Nursing
M,STEM,2019,Central Luzon State University,BS Psychology
M,STEM,2019,Wesleyan University Philippines,BS Medical Technology
M,STEM,2019,Wesleyan University Philippines,BS Medical Technology
M,STEM,2019,Wesleyan University Philippines,BS Accountancy
M,STEM,2019,Wesleyan University Philippines,BS Physical Theraphy
F,STEM,2019,Nueva Ecija University of Science and Technology,Bachelor of Secondary Education Major in Social Studies
F,STEM,2019,Centro Escolar University,Doctor of Dental Medicine
F,STEM,2019,National University,BS Nursing
F,STEM,2019,Nueva Ecija University of Science and technology,BS Civil Engineering
F,STEM,2019,University of Santo Tomas,BS Biology
F,STEM,2019,Pamantasan ng Lungsod ng Maynila,College of Physical Therapy
F,STEM,2019,Wesleyan University Philippines,BS Nursing
F,STEM,2019,Nueva Ecija University of Science and Technology,BS Nursing
F,STEM,2019,Far Eastern University Nicanor Reyes Medical Foundation,BS Medical Technology
F,STEM,2019,Central Luzon State University,BS Entrepreneurship
F,STEM,2019,Pines City Colleges,BS Respiratory Therapy
F,STEM,2019,Nueva Ecija University of Science and Technology,BS Nursing
F,STEM,2019,Saint Louis University,BS Nursing
F,STEM,2019,Wesleyan University Philippines,BS Medical Technology
F,STEM,2019,Cento Escolar University,Doctor of Dental Medicine
F,STEM,2019,Nueva Ecija University of Science and Technology,BS Nursing
F,STEM,2019,Nueva Ecija University of Science and Technology,BS Architecture
F,STEM,2019,University of Santo Tomas,Bachelor of Scinece in Nursing
F,STEM,2019,Lethbridge College,Licensed Practical Nurse
F,STEM,2019,Saint Louis University,BS Pharmacy
F,STEM,2019,Nueva Ecija University of Science and Technology,BS Civil Engineering
F,STEM,2019,Enverga University College of Architecture And Fine Arts,BS Architecure
F,STEM,2019,Far Eastern University Dr. Nicanor Reyes Medical Foundation,BS Medical Laboratory Science
F,STEM,2019,Wesleyan University Philippines,BS Nursing
F,STEM,2019,Nueva Ecija University of Science and Technology,BS Civil Engineering
F,STEM,2019,Far Eastern University Manila,BS Nursing
M,STEM,2019,Far Eastern University Institute of Technology,BS Civil Engineering
M,STEM,2019,PHINMA Araullo University,BS Criminology
M,STEM,2019,Wesleyan University Philippines,BS Management Accounting
